,cost,probabilities,shares,p_shares,payments,round_num
0,138.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}",0
1,154.94808334906028,"{'Harvard': 0.4678724514899354, 'Yale': 0.5321275485100647}","{'Harvard': 3.0361713967476547, 'Yale': 28.77367024143148}","{1: {'Harvard': 26.493786339947494, 'Yale': 1.9764801372125822}, 2: {'Harvard': 22.655110886436823, 'Yale': 17.585261172087435}, 3: {'Harvard': 3.0361713967476547, 'Yale': 28.77367024143148}}","{1: {'Harvard': 14.610584679790293, 'Yale': 14.610584679790293}, 2: {'Harvard': 20.136250209239876, 'Yale': 20.136250209239876}, 3: {'Harvard': 16.318647237071218, 'Yale': 16.318647237071218}}",1
2,181.28218187826837,"{'Harvard': 0.4736784587081797, 'Yale': 0.5263215412918202}","{'Harvard': 31.836872952044203, 'Yale': 52.913590322738045}","{1: {'Harvard': 32.17614541421856, 'Yale': 6.238650990214187}, 2: {'Harvard': 17.02828532629037, 'Yale': 3.983385085967466}, 3: {'Harvard': 28.80070155529655, 'Yale': 24.139920081306563}}","{1: {'Harvard': 19.725849458284188, 'Yale': 18.69541867851106}, 2: {'Harvard': 10.661655822336115, 'Yale': 10.143409839985821}, 3: {'Harvard': 26.501574055576413, 'Yale': 26.31647865166019}}",2
3,205.93197006800494,"{'Harvard': 0.5027889894239349, 'Yale': 0.49721101057606504}","{'Harvard': 68.41502986275765, 'Yale': 66.18381518285952}","{1: {'Harvard': 7.600147924037364, 'Yale': 32.20905419653741}, 2: {'Harvard': 23.37631072224554, 'Yale': 28.35469654562432}, 3: {'Harvard': 36.578156910713446, 'Yale': 13.27022486012148}}","{1: {'Harvard': 19.304427647688073, 'Yale': 21.89258111063498}, 2: {'Harvard': 25.683202879300097, 'Yale': 26.208081908647358}, 3: {'Harvard': 26.185970422172915, 'Yale': 23.726675729777867}}",3
4,220.42709568893653,"{'Harvard': 0.49937293155433243, 'Yale': 0.5006270684456675}","{'Harvard': 81.54667478111699, 'Yale': 82.04832980066207}","{1: {'Harvard': 8.90440563244183, 'Yale': 3.7182793196075146}, 2: {'Harvard': 6.441872860628806, 'Yale': 31.857122901231676}, 3: {'Harvard': 13.131644918359337, 'Yale': 15.864514617802552}}","{1: {'Harvard': 6.766882217475256, 'Yale': 5.902549127776524}, 2: {'Harvard': 17.391659793235732, 'Yale': 21.623004526450046}, 3: {'Harvard': 14.27115809203147, 'Yale': 14.72666752563336}}",4
5,240.42971955689376,"{'Harvard': 0.48432694918198577, 'Yale': 0.5156730508180143}","{'Harvard': 95.43070246006533, 'Yale': 107.97325220292967}","{1: {'Harvard': 4.962585317940911, 'Yale': 18.70773870055912}, 2: {'Harvard': 36.50787471770535, 'Yale': 5.861881403881876}, 3: {'Harvard': 13.884027678948337, 'Yale': 25.924922402267594}}","{1: {'Harvard': 10.566973865350178, 'Yale': 13.338131376307416}, 2: {'Harvard': 24.82315070948252, 'Yale': 18.653450368978866}, 3: {'Harvard': 18.781121745635346, 'Yale': 21.20890336592592}}",5
6,249.34892056579224,"{'Harvard': 0.4836582147176423, 'Yale': 0.5163417852823577}","{'Harvard': 104.07356263413538, 'Yale': 117.1516489266761}","{1: {'Harvard': 29.72960567946848, 'Yale': 7.90298297379353}, 2: {'Harvard': 2.736993210603024, 'Yale': 14.382180768288327}, 3: {'Harvard': 8.642860174070057, 'Yale': 9.178396723746431}}","{1: {'Harvard': 21.650572006678885, 'Yale': 16.219565901344936}, 2: {'Harvard': 7.276684985916916, 'Yale': 10.172661739232666}, 3: {'Harvard': 8.84809970053115, 'Yale': 8.981368913608833}}",6
7,268.6791555310229,"{'Harvard': 0.46212722331565714, 'Yale': 0.5378727766843429}","{'Harvard': 114.2961453976112, 'Yale': 144.65251126116496}","{1: {'Harvard': 24.25930322695547, 'Yale': 6.72894800008756}, 2: {'Harvard': 5.285462087158265, 'Yale': 12.20769542183492}, 3: {'Harvard': 10.222582763475817, 'Yale': 27.50086233448887}}","{1: {'Harvard': 17.902831390844597, 'Yale': 13.175874037252527}, 2: {'Harvard': 7.89392706513928, 'Yale': 9.759672585284335}, 3: {'Harvard': 16.83908074623804, 'Yale': 21.492008166281693}}",7
8,275.8202024731917,"{'Harvard': 0.47122220589229485, 'Yale': 0.5287777941077051}","{'Harvard': 125.33509817355679, 'Yale': 148.38280561022265}","{1: {'Harvard': 10.126064761412618, 'Yale': 23.224978533243974}, 2: {'Harvard': 12.758588320831983, 'Yale': 19.06800116498658}, 3: {'Harvard': 11.038952775945592, 'Yale': 3.7302943490576914}}","{1: {'Harvard': 14.952925464442586, 'Yale': 19.039518958019073}, 2: {'Harvard': 15.058646380338558, 'Yale': 17.028684305864147}, 3: {'Harvard': 8.431988426041272, 'Yale': 6.147346470896849}}",8
9,296.9261273538691,"{'Harvard': 0.47667871371777926, 'Yale': 0.5233212862822209}","{'Harvard': 148.74361311749684, 'Yale': 167.41418947072037}","{1: {'Harvard': 4.293712492982092, 'Yale': 22.272868550962315}, 2: {'Harvard': 23.522435721436707, 'Yale': 12.188922471097463}, 3: {'Harvard': 23.40851494394006, 'Yale': 19.031383860497726}}","{1: {'Harvard': 10.740266122202826, 'Yale': 16.647730646696516}, 2: {'Harvard': 19.647834864949402, 'Yale': 15.915589367283246}, 3: {'Harvard': 21.894962052026727, 'Yale': 20.45387780797148}}",9
