,cost,probabilities,shares,p_shares,payments,round_num
0,138.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: 0, 2: 0, 3: 0}",0
1,138.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: 0.0, 2: 0.0, 3: 0.0}",1
2,138.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: 0.0, 2: 0.0, 3: 0.0}",2
3,138.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: 0.0, 2: 0.0, 3: 0.0}",3
4,138.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: 0.0, 2: 0.0, 3: 0.0}",4
5,138.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: 0.0, 2: 0.0, 3: 0.0}",5
6,138.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: 0.0, 2: 0.0, 3: 0.0}",6
7,138.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: 0.0, 2: 0.0, 3: 0.0}",7
8,138.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: 0.0, 2: 0.0, 3: 0.0}",8
9,138.78261783535362,"{'Harvard': 0.49961719230815693, 'Yale': 0.5003828076918432}","{'Harvard': 0.0, 'Yale': 0.3062462133116082}","{1: {'Harvard': 0.0, 'Yale': 0.1020820711038694}, 2: {'Harvard': 0.0, 'Yale': 0.1020820711038694}, 3: {'Harvard': 0.0, 'Yale': 0.1020820711038694}}","{1: 0.05104754852013116, 2: 0.05104754852013116, 3: 0.05104754852013116}",9
10,138.93894638740196,"{'Harvard': 0.49922682273154884, 'Yale': 0.5007731772684512}","{'Harvard': 0.0, 'Yale': 0.618542307783257}","{1: {'Harvard': 0.0, 'Yale': 0.10409869815721629}, 2: {'Harvard': 0.0, 'Yale': 0.10409869815721629}, 3: {'Harvard': 0.0, 'Yale': 0.10409869815721629}}","{1: 0.05209597169289282, 2: 0.05209597169289282, 3: 0.05209597169289282}",10
11,139.09855060717226,"{'Harvard': 0.49882858811484393, 'Yale': 0.5011714118851561}","{'Harvard': 0.0, 'Yale': 0.9371312227099533}","{1: {'Harvard': 0.0, 'Yale': 0.10619630497556547}, 2: {'Harvard': 0.0, 'Yale': 0.10619630497556547}, 3: {'Harvard': 0.0, 'Yale': 0.10619630497556547}}","{1: 0.05318730957242224, 2: 0.05318730957242224, 3: 0.05318730957242224}",11
12,139.2615673454167,"{'Harvard': 0.4984221667241806, 'Yale': 0.5015778332758195}","{'Harvard': 0.0, 'Yale': 1.2622708106616138}","{1: {'Harvard': 0.0, 'Yale': 0.10837986265055355}, 2: {'Harvard': 0.0, 'Yale': 0.10837986265055355}, 3: {'Harvard': 0.0, 'Yale': 0.10837986265055355}}","{1: 0.054324230112683836, 2: 0.054324230112683836, 3: 0.054324230112683836}",12
